form,lemma,POS,morph
difficile,difficilis,ADJqua,Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos
est,sum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
metato,metor,VER,Case=Abl|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Dep
edicere,edico2,VER,Mood=Inf|Tense=Pres|Voice=Act
uersu,uersus1,NOMcom,Case=Abl|Numb=Sing
Ne,ne4,CONsub,MORPH=empty
quae,qui2,PROind,Case=Nom|Numb=Plur|Gend=Neut
munda,mundus2,ADJqua,Case=Nom|Numb=Plur|Gend=Neut|Deg=Pos
parum,parum2,ADV,Deg=Pos
congesta,congero2,VER,Case=Nom|Numb=Plur|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass
in,in,PRE,MORPH=empty
pectore,pectus,NOMcom,Case=Abl|Numb=Sing
sidunt,sido,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Innocuas,innocuus,ADJqua,Case=Acc|Numb=Plur|Gend=Fem|Deg=Pos
tactu,tactus,NOMcom,Case=Abl|Numb=Sing
faciant,facio,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
sordescere,sordesco,VER,Mood=Inf|Tense=Pres|Voice=Act
fibras,fibra,NOMcom,Case=Acc|Numb=Plur
Femina,femina,NOMcom,Case=Nom|Numb=Sing
quae,qui1,PROrel,Case=Nom|Numb=Sing|Gend=Fem
licito,licito,VER,Case=Abl|Numb=Sing|Gend=MascNeut
uacuatur,uacuo1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
uiscera,uiscus2,NOMcom,Case=Acc|Numb=Plur
partu,partus1,NOMcom,Case=Abl|Numb=Sing
Si,si2,CONsub,MORPH=empty
puerum,puer,NOMcom,Case=Acc|Numb=Sing
generat,genero,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
septeno,septenus,ADJord,Case=Abl|Numb=Sing|Gend=MascNeut
in,in,PRE,MORPH=empty
lumine,lumen,NOMcom,Case=Abl|Numb=Sing
sordet,sordeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Corpore,corpus,NOMcom,Case=Abl|Numb=Sing
cum,cum2,PRE,MORPH=empty
toto,totus,PROind,Case=Abl|Numb=Sing|Gend=MascNeut
sed,sed,CONcoo,MORPH=empty
cum,cum3,CONsub,MORPH=empty
se,sui1,PROref,Case=Acc|Numb=Sing
uerterit,uerto,VER,Numb=Sing|Mood=Ind|Tense=FutAnt|Voice=Act|Person=3
axis,axis,NOMcom,Case=Nom|Numb=Sing
Octauus,octauus,ADJord,Case=Nom|Numb=Sing|Gend=Masc|Deg=Pos
quo,quo1,ADVrel,MORPH=empty
sollemne,sollemnis,ADJqua,Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos
est,sum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
truncare,trunco,VER,Mood=Inf|Tense=Pres|Voice=Act
pudenda,pudendus,ADJqua,Case=Nom|Numb=Sing|Gend=Fem|Deg=Pos
Pelliculam,pellicula,NOMcom,Case=Acc|Numb=Sing
demet,demo,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
ueretri,ueretrum,NOMcom,Case=Gen|Numb=Sing
atque,atque1,CONcoo,MORPH=empty
inde,inde,ADV,Deg=Pos
sedebit,sedeo,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
Ter,ter,ADJadv.mul,MORPH=empty
denis,denus,ADJdis,Case=Abl|Numb=Plur|Gend=Com
tribusque,tres,ADJcar,Case=Abl|Numb=Plur|Gend=Com
{tribusque},que,CON,MORPH=empty
dehinc,dehinc,ADV,Deg=Pos
iam,iam,ADV,Deg=Pos
feta,fetus2,ADJqua,Case=Nom|Numb=Sing|Gend=Fem|Deg=Pos
diebus,dies,NOMcom,Case=Abl|Numb=Plur
Ne,ne4,CONsub,MORPH=empty
quae,qui1,PROind,Case=Nom|Numb=Plur|Gend=Neut
sanctificis,sanctificus,ADJqua,Case=Abl|Numb=Sing|Gend=Com
adolentur,adoleo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
cultibus,cultus1,NOMcom,Case=Abl|Numb=Plur
audax,audax,ADJqua,Case=Nom|Numb=Sing|Gend=Com|Deg=Pos
Polluat,polluo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
aut,aut,CONcoo,MORPH=empty
uisu,uideo,NOMcom,Case=Abl|Numb=Sing
aut,aut,CONcoo,MORPH=empty
foedo,foedus2,ADJqua,Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos
altaria,altar,NOMcom,Case=Acc|Numb=Plur
tactu,tactus,NOMcom,Case=Abl|Numb=Sing
Quodsi,quodsum,ADVrel,Numb=Sing|Gend=MascNeut
concepta,concipio,VER,Case=Acc|Numb=Plur|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass
laxarit,laxo,VER,Numb=Sing|Mood=Ind|Tense=FutAnt|Voice=Act|Person=3
membra,membrum,NOMcom,Case=Acc|Numb=Plur
puellae,puella,NOMcom,Case=Gen|Numb=Sing
Obseruans,obseruo,VER,Case=Nom|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
geminum,geminus,ADJqua,Case=Acc|Numb=Sing|Gend=MascNeut|Deg=Pos
tempus,tempus1,NOMcom,Case=Acc|Numb=Sing
nil,nihil,PROind,Case=Ind
fraudis,fraus,NOMcom,Case=Gen|Numb=Sing
habebit,habeo,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
