form,lemma,POS,morph
suavissimi,suauis,ADJqua,Case=Gen|Numb=Sing|Gend=MascNeut|Deg=Sup
odoris,odor,NOMcom,Case=Gen|Numb=Sing
Domino,dominus,NOMcom,Case=Dat|Numb=Sing
Anima,anima,NOMcom,Case=Nom|Numb=Sing
cum,cum2,PRE,MORPH=empty
obtulerit,offero,VER,Numb=Sing|Mood=Ind|Tense=FutAnt|Voice=Act|Person=3
oblationem,oblatio,NOMcom,Case=Acc|Numb=Sing
sacrificii,sacrificium,NOMcom,Case=Gen|Numb=Sing
Domino,dominus,NOMcom,Case=Dat|Numb=Sing
simila,simila,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
erit,sum1,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
ejus,is,PROdem,Case=Gen|Numb=Sing|Gend=Com
oblatio,oblatio,NOMcom,Case=Nom|Numb=Sing
fundetque,fundo,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
{fundetque},que,CON,MORPH=empty
super,super2,PRE,MORPH=empty
eam,is,PROdem,Case=Acc|Numb=Sing|Gend=Fem
oleum,oleum,NOMcom,Case=Acc|Numb=Sing
et,et2,CONcoo,MORPH=empty
ponet,pono,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
thus,thus,NOMcom,Case=Nom|Numb=Sing
ac,atque1,CONcoo,MORPH=empty
deferet,defero,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
ad,ad2,PRE,MORPH=empty
filios,filius,NOMcom,Case=Acc|Numb=Plur
Aaron,Aaron,NOMpro,Case=Ind|Numb=Sing
sacerdotes,sacerdos,NOMcom,Case=Acc|Numb=Plur
quorum,qui1,PROrel,Case=Gen|Numb=Plur|Gend=MascNeut
unus,unus,ADJcar,Case=Nom|Numb=Sing|Gend=Masc
tollet,tollo,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
pugillum,pugillus,NOMcom,Case=Acc|Numb=Sing
plenum,plenus,ADJqua,Case=Acc|Numb=Sing|Gend=MascNeut|Deg=Pos
similae,simila,NOMcom,Case=Gen|Numb=Sing
et,et2,CONcoo,MORPH=empty
olei,oleum,NOMcom,Case=Gen|Numb=Sing
ac,atque1,CONcoo,MORPH=empty
totum,totus,PROind,Case=Acc|Numb=Sing|Gend=MascNeut
thus,thus,NOMcom,Case=Nom|Numb=Sing
et,et2,CONcoo,MORPH=empty
ponet,pono,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
memoriale,memorialis,ADJqua,Case=Acc|Numb=Sing|Gend=Neut|Deg=Pos
super,super2,PRE,MORPH=empty
altare,altare,NOMcom,Case=Acc|Numb=Sing
in,in,PRE,MORPH=empty
odorem,odor,NOMcom,Case=Acc|Numb=Sing
suavissimum,suauis,ADJqua,Case=Acc|Numb=Sing|Gend=Neut|Deg=Sup
Domino,dominus,NOMcom,Case=Dat|Numb=Sing
Quod,qui1,PROrel,Case=Nom|Numb=Sing|Gend=Neut
autem,autem,CONcoo,MORPH=empty
reliquum,reliquus,ADJqua,Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos
fuerit,sum1,VER,Numb=Sing|Mood=Ind|Tense=FutAnt|Voice=Act|Person=3
de,de,PRE,MORPH=empty
sacrificio,sacrificium,NOMcom,Case=Abl|Numb=Sing
erit,sum1,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
Aaron,Aaron,NOMpro,Case=Ind
et,et2,CONcoo,MORPH=empty
filiorum,filius,NOMcom,Case=Gen|Numb=Plur
ejus,is,PROdem,Case=Gen|Numb=Sing|Gend=Com
Sanctum,sanctus,ADJqua,Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos
sanctorum,sanctus,ADJqua,Case=Gen|Numb=Plur|Gend=MascNeut|Deg=Pos
de,de,PRE,MORPH=empty
oblationibus,oblatio,NOMcom,Case=Abl|Numb=Plur
Domini,dominus,NOMcom,Case=Gen|Numb=Sing
Cum,cum3,CONsub,MORPH=empty
autem,autem,CONcoo,MORPH=empty
obtuleris,offero,VER,Numb=Sing|Mood=Ind|Tense=FutAnt|Voice=Act|Person=2
sacrificium,sacrificium,NOMcom,Case=Acc|Numb=Sing
coctum,coquo,VER,Case=Acc|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Pass
in,in,PRE,MORPH=empty
clibano,clibanus,NOMcom,Case=Abl|Numb=Sing
de,de,PRE,MORPH=empty
simila,simila,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
panes,panis,NOMcom,Case=Acc|Numb=Plur
scilicet,scilicet,ADV,Deg=Pos
absque,absque2,PRE,MORPH=empty
fermento,fermentum,NOMcom,Case=Abl|Numb=Sing
conspersos,conspergo,VER,Case=Acc|Numb=Plur|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
oleo,oleum,NOMcom,Case=Abl|Numb=Sing
et,et2,CONcoo,MORPH=empty
lagana,lagana,NOMcom,Case=Abl|Numb=Plur
azyma,azymus,ADJqua,Case=Abl|Numb=Plur|Gend=Fem|Deg=Pos
oleo,oleum,NOMcom,Case=Dat|Numb=Sing
lita,litus,NOMcom,Case=Nom|Numb=Sing
Si,si2,CONsub,MORPH=empty
oblatio,oblatio,NOMcom,Case=Nom|Numb=Sing
tua,tuus,PROpos,Case=Nom|Numb=Sing|Gend=Fem
fuerit,sum1,VER,Numb=Sing|Mood=Ind|Tense=FutAnt|Voice=Act|Person=3
de,de,PRE,MORPH=empty
sartagine,sartago,NOMcom,Case=Abl|Numb=Sing
similae,simila,ADJqua,Case=Gen|Numb=Sing
conspersae,conspergo,VER,Case=Gen|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass
oleo,oleum,NOMcom,Case=Dat|Numb=Sing
et,et2,CONcoo,MORPH=empty
absque,absque2,ADV,MORPH=empty
fermento,fermentum,NOMcom,Case=Abl|Numb=Sing
divides,diuido,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=2
eam,is,PROdem,Case=Acc|Numb=Sing|Gend=Fem
minutatim,minutatim,ADV,Deg=Pos
et,et2,CONcoo,MORPH=empty
fundes,fundo2,NOMcom,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=2
super,super2,PRE,MORPH=empty
eam,is,PROdem,Case=Acc|Numb=Sing|Gend=Fem
oleum,oleum,NOMcom,Case=Acc|Numb=Sing
Sin,sin,CONsub,MORPH=empty
autem,autem,CONcoo,MORPH=empty
de,de,PRE,MORPH=empty
craticula,craticula,NOMcom,Case=Abl|Numb=Sing
fuerit,sum1,VER,Numb=Sing|Mood=Ind|Tense=FutAnt|Voice=Act|Person=3
sacrificium,sacrificium,NOMcom,Case=Nom|Numb=Sing
aeque,aeque,ADV,Deg=Pos
simila,simila,ADJqua,Case=Nom|Numb=Sing|Gend=Fem|Deg=Pos
oleo,oleum,NOMcom,Case=Abl|Numb=Sing
conspergetur,conspergo,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Pass|Person=3
quam,qui2,ADVrel,Case=Acc|Numb=Sing|Gend=Fem
offerens,offero,VER,Case=Nom|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
Domino,dominus,NOMcom,Case=Dat|Numb=Sing
trades,trado,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=2
manibus,manus1,NOMcom,Case=Dat|Numb=Plur
sacerdotis,sacerdos,NOMcom,Case=Gen|Numb=Sing
Qui,qui1,PROrel,Case=Nom|Numb=Sing|Gend=Masc
cum,cum3,CONsub,MORPH=empty
obtulerit,offero,VER,Numb=Sing|Mood=Ind|Tense=FutAnt|Voice=Act|Person=3
eam,is,PROdem,Case=Acc|Numb=Sing|Gend=Fem
tollet,tollo,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
memoriale,memorialis,ADJqua,Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos
de,de,PRE,MORPH=empty
sacrificio,sacrificium,NOMcom,Case=Abl|Numb=Sing
et,et2,CONcoo,MORPH=empty
adolebit,adoleo,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
super,super2,PRE,Deg=Pos
altare,altare,NOMcom,Case=Acc|Numb=Sing
in,in,PRE,MORPH=empty
odorem,odor,NOMcom,Case=Acc|Numb=Sing
suavitatis,suauitas,NOMcom,Case=Gen|Numb=Sing
